[ 2017-02-15T15:35:24+08:00 ] /notexist_path.txt | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:24+08:00 ] /notexist_path.txt | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:24+08:00 ] /notexist_path.txt | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | ERR: (ThinkException) 非法操作setting.xml
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | INFO: Tag[ route_check ] --START--
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2017-02-15T15:35:24+08:00 ] /data/stat_setting.xml | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
