[ 2017-02-13T00:04:46+08:00 ] /10297 | SQL: SELECT `RegDate` FROM `pay_user` WHERE id=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | SQL: SHOW COLUMNS FROM `pay_userbasicinformation` [ RunTime:0.001953s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | SQL: SELECT `Compellation` FROM `pay_userbasicinformation` WHERE UserID=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_template ] --START--
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_parse ] --START--
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run ParseTemplate Behavior [ RunTime:0.005859s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005859s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_filter ] --START--
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run TokenBuild Behavior [ RunTime:0.000977s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run ShowRuntime Behavior [ RunTime:0.000976s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_end ] --START--
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-13T00:04:46+08:00 ] /10297 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T00:05:05+08:00 ] /10297 | INFO: Tag[ route_check ] --START--
[ 2017-02-13T00:05:05+08:00 ] /10297 | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2017-02-13T00:05:05+08:00 ] /10297 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2017-02-13T00:05:05+08:00 ] /10297 | INFO: Tag[ app_begin ] --START--
[ 2017-02-13T00:05:05+08:00 ] /10297 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-13T00:05:05+08:00 ] /10297 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.001953s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='10297' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | NOTIC: [8] Undefined index: Sjt_BType EmptyAction.class.php 第 29 行.
[ 2017-02-13T00:05:07+08:00 ] /10297 | SQL: SELECT `RegDate` FROM `pay_user` WHERE id=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | SQL: SHOW COLUMNS FROM `pay_userbasicinformation` [ RunTime:0.001953s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | SQL: SELECT `Compellation` FROM `pay_userbasicinformation` WHERE UserID=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Tag[ view_template ] --START--
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Run LocationTemplate Behavior [ RunTime:0.000976s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000976s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Tag[ view_parse ] --START--
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Run ParseTemplate Behavior [ RunTime:0.005860s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005860s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Tag[ view_filter ] --START--
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Run TokenBuild Behavior [ RunTime:0.000977s ]
[ 2017-02-13T00:05:07+08:00 ] /10297 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
